XH,2021-01-01,2022-01-01
202132803094,198.62,3591.01
202132803095,100.8,1609.88
202132803096,1544.3,3658.89
202132803097,2115.7,4777.32
202132803098,1805.5,4333.31
202132803099,892.7,3743.3
202132803101,156.2,0.0
202132803102,1038.07,2022.25
202132803103,488.3,0.0
202132803104,479.5,3304.17
202132803105,1324.85,4509.9
202132803106,1717.0,2261.03
202132803107,2390.8,5411.67
202132803108,1118.23,5088.18
202132803109,2074.8,4752.18
202132803110,514.54,0.0
202132803111,1684.23,3114.76
202132803112,1655.68,4006.45
202132803113,2642.77,5075.91
202132803114,1214.5,2799.7
202132803115,1897.9,4059.25
202132803116,512.86,910.9
202132803117,531.0,0.0
202132803118,2316.7,3818.06
202132803119,1235.7,1796.6
202132803120,183.3,0.0
202132803121,1664.45,2620.11
202132803122,2081.11,3721.82
202132803123,607.21,0.0
202132803124,2025.67,800.7
202132803125,2384.07,4106.22
202132803126,1614.48,793.65
202132803127,1888.54,2434.38
202132803128,2858.14,3095.56
202132803129,2270.47,3749.45
202132803130,2290.26,2239.9
202132803131,208.0,0.0
202132803132,2736.53,2625.13
202132803133,1162.06,2331.66
202132803134,2116.31,3457.96
202132803135,1554.64,3282.75
202132803136,1910.1,3686.57
202132803137,2169.29,3756.6
202132803138,2321.75,4980.3
202132803139,575.04,4296.49
202132803140,1649.31,3715.47
202132803141,1460.19,3631.82
202132803142,1610.75,3600.79
202132803143,2310.5,5439.0
202132803144,449.12,0.0
202132803145,2396.5,5405.13
202132803146,1666.88,4382.16
202132803147,1350.54,4882.33
202132803148,3807.89,3325.28
202132803149,2548.04,3775.14
202132803150,2332.79,5545.5
202132803151,2057.62,3938.49
202132803152,1590.06,3313.73
202132803153,1932.07,1753.23
202132803154,2356.34,3513.58
202132803155,2120.56,1753.14
202132803156,2622.36,4273.02
202132803157,2234.55,3444.46
202132803158,3054.16,5342.38
202132803159,2935.57,84.5
202132803161,1781.05,4125.1
202132803162,1888.13,2390.84
202132803163,2237.77,2917.11
202132803164,339.13,0.0
202132803165,298.56,4365.65
202132803166,1590.6,3949.63
202132803167,477.2,3807.9900000000002
202132803168,918.2,2956.61
202132803169,939.22,1027.14
202132803170,1960.35,3572.36
202132803171,1936.57,4273.7
202132803172,1307.4,3028.4
202132803173,1863.3,5113.46
202132803174,2127.0,3504.1
202132803175,1936.62,2232.04
202132803176,1062.3,3205.1
202132803177,2331.83,4078.54
